row,cat_id,name,bucket,confidence,frequency,threshold,total_images,num_positives,num_negatives,TP,FP,TN,FN,precision,recall,f1,weighted_f1
201,202,canteen,weak,low,r,0.45,100169,2,100167,0,0,100167,2,0.0,0.0,0.0,0.0
202,203,cap_(headwear),high,high,f,0.36,100169,125,100044,31,15643,84401,94,0.002,0.248,0.0039,0.0025
203,204,bottle_cap,high,high,f,0.37,100169,1135,99034,43,1340,97694,1092,0.0311,0.0379,0.0342,0.0322
204,205,cape,medium,medium,c,0.36,100169,19,100150,4,10959,89191,15,0.0004,0.2105,0.0007,0.0005
205,206,cappuccino,medium,medium,c,0.45,100169,72,100097,5,3,100094,67,0.625,0.0694,0.125,0.2404
206,207,car_(automobile),high,high,f,0.38,100169,1926,98243,177,1036,97207,1749,0.1459,0.0919,0.1128,0.1306
207,208,railcar_(part_of_a_train),high,high,f,0.43,100169,159,100010,12,126,99884,147,0.087,0.0755,0.0808,0.0844
208,209,elevator_car,weak,low,r,0.45,100169,7,100162,0,3,100159,7,0.0,0.0,0.0,0.0
209,210,car_battery,weak,low,r,0.45,100169,1,100168,0,0,100168,1,0.0,0.0,0.0,0.0
210,211,identity_card,medium,medium,c,0.24,100169,13,100156,13,97709,2447,0,0.0001,1.0,0.0003,0.0002
211,212,card,medium,medium,c,0.37,100169,35,100134,1,244,99890,34,0.0041,0.0286,0.0071,0.0049
212,213,cardigan,medium,medium,c,0.39,100169,18,100151,1,231,99920,17,0.0043,0.0556,0.008,0.0053
213,214,cargo_ship,weak,low,r,0.45,100169,8,100161,0,1,100160,8,0.0,0.0,0.0,0.0
214,215,carnation,weak,low,r,0.45,100169,6,100163,0,2,100161,6,0.0,0.0,0.0,0.0
215,216,horse_carriage,medium,medium,c,0.46,100169,35,100134,7,32,100102,28,0.1795,0.2,0.1892,0.1832
216,217,carrot,high,high,f,0.41,100169,1222,98947,142,179,98768,1080,0.4424,0.1162,0.1841,0.2833
217,218,tote_bag,high,high,f,0.41,100169,103,100066,2,26,100040,101,0.0714,0.0194,0.0305,0.0465
218,219,cart,medium,medium,c,0.42,100169,28,100141,1,38,100103,27,0.0256,0.0357,0.0299,0.0272
219,220,carton,medium,medium,c,0.39,100169,63,100106,1,223,99883,62,0.0045,0.0159,0.007,0.0052
220,221,cash_register,medium,medium,c,0.37,100169,28,100141,6,2463,97678,22,0.0024,0.2143,0.0048,0.003
221,222,casserole,weak,low,r,0.45,100169,5,100164,0,0,100164,5,0.0,0.0,0.0,0.0
222,223,cassette,weak,low,r,0.45,100169,7,100162,0,0,100162,7,0.0,0.0,0.0,0.0
223,224,cast,medium,medium,c,0.35,100169,14,100155,4,6350,93805,10,0.0006,0.2857,0.0013,0.0008
224,225,cat,high,high,f,0.4,100169,1918,98251,1272,1171,97080,646,0.5207,0.6632,0.5834,0.5441
225,226,cauliflower,high,high,f,0.42,100169,133,100036,13,74,99962,120,0.1494,0.0977,0.1182,0.1351
226,227,cayenne_(spice),medium,medium,c,0.39,100169,16,100153,1,246,99907,15,0.004,0.0625,0.0076,0.005
227,228,CD_player,medium,medium,c,0.37,100169,27,100142,6,1334,98808,21,0.0045,0.2222,0.0088,0.0056
228,229,celery,high,high,f,0.39,100169,110,100059,23,618,99441,87,0.0359,0.2091,0.0613,0.043
229,230,cellular_telephone,high,high,f,0.4,100169,1895,98274,205,243,98031,1690,0.4576,0.1082,0.175,0.278
230,231,chain_mail,weak,low,r,0.45,100169,4,100165,0,0,100165,4,0.0,0.0,0.0,0.0
231,232,chair,high,high,f,0.39,100169,1927,98242,95,887,97355,1832,0.0967,0.0493,0.0653,0.0811
232,233,chaise_longue,weak,low,r,0.45,100169,8,100161,0,0,100161,8,0.0,0.0,0.0,0.0
233,234,chalice,weak,low,r,0.45,100169,1,100168,0,0,100168,1,0.0,0.0,0.0,0.0
234,235,chandelier,high,high,f,0.38,100169,263,99906,25,260,99646,238,0.0877,0.0951,0.0912,0.0891
235,236,chap,weak,low,r,0.45,100169,10,100159,0,0,100159,10,0.0,0.0,0.0,0.0
236,237,checkbook,weak,low,r,0.45,100169,2,100167,0,0,100167,2,0.0,0.0,0.0,0.0
237,238,checkerboard,weak,low,r,0.45,100169,3,100166,0,0,100166,3,0.0,0.0,0.0,0.0
238,239,cherry,medium,medium,c,0.39,100169,87,100082,3,299,99783,84,0.0099,0.0345,0.0154,0.0116
239,240,chessboard,weak,low,r,0.45,100169,9,100160,0,0,100160,9,0.0,0.0,0.0,0.0
240,241,chicken_(animal),medium,medium,c,0.42,100169,71,100098,11,21,100077,60,0.3438,0.1549,0.2136,0.2764
241,242,chickpea,medium,medium,c,0.37,100169,13,100156,1,1582,98574,12,0.0006,0.0769,0.0013,0.0008
242,243,chili_(vegetable),medium,medium,c,0.39,100169,18,100151,1,572,99579,17,0.0017,0.0556,0.0034,0.0022
